state,jurisdiction,clinton,trump,johnson,stein,other,totalvotes,,
AK,District 1,2573,3180,416,143,326,6638,,
AK,District 10,1808,6255,493,135,349,9040,,
AK,District 11,2142,6444,572,124,407,9689,,
AK,District 12,1928,6629,548,98,340,9543,,
AK,District 13,1684,4028,480,81,260,6533,,
AK,District 14,3043,5978,802,103,494,10420,,
AK,District 15,1828,2525,335,85,209,4982,,
AK,District 16,3294,3203,464,157,318,7436,,
AK,District 17,3290,2618,419,146,315,6788,,
AK,District 18,3909,2684,424,136,249,7402,,
AK,District 19,2669,1636,190,105,192,4792,,
AK,District 2,1585,3188,371,94,254,5492,,
AK,District 20,4151,2187,395,134,273,7140,,
AK,District 21,4224,3479,526,134,284,8647,,
AK,District 22,3270,4203,446,121,332,8372,,
AK,District 23,2894,3246,424,108,252,6924,,
AK,District 24,3578,4709,574,118,311,9290,,
AK,District 25,3378,3816,521,121,291,8127,,
AK,District 26,3374,4548,536,108,339,8905,,
AK,District 27,3729,4085,489,139,341,8783,,
AK,District 28,4749,5423,696,143,416,11427,,
AK,District 29,2101,6347,463,136,347,9394,,
AK,District 3,1241,5403,518,98,353,7613,,
AK,District 30,1816,6194,502,128,310,8950,,
AK,District 31,3466,5617,500,252,347,10182,,
AK,District 32,2701,3764,519,177,311,7472,,
AK,District 33,5978,2732,513,306,405,9934,,
AK,District 34,4220,3955,609,229,418,9431,,
AK,District 35,3749,4105,450,278,460,9042,,
AK,District 36,2693,4460,585,173,353,8264,,
AK,District 37,2421,1938,302,92,309,5062,,
AK,District 38,2758,1143,273,263,658,5095,,
AK,District 39,3142,1405,277,101,714,5639,,
AK,District 4,4162,4070,585,237,467,9521,,
AK,District 40,2338,1377,213,93,589,4610,,
AK,District 5,3187,3683,512,178,346,7906,,
AK,District 6,2536,4929,471,125,399,8460,,
AK,District 7,1510,5935,431,102,316,8294,,
AK,District 8,1218,6126,364,88,277,8073,,
AK,District 9,1843,6100,510,135,366,8954,,
AK,HD99 Fed Overseas Absentee,274,40,7,11,10,342,,
AL,Autauga,5936,18172,546,105,214,24973,,
AL,Baldwin,18458,72883,2464,456,954,95215,,
AL,Barbour,4871,5454,93,18,33,10469,,
AL,Bibb,1874,6738,124,17,66,8819,,
AL,Blount,2156,22859,338,89,146,25588,,
AL,Bullock,3530,1140,22,10,8,4710,,
AL,Butler,3726,4901,65,13,27,8732,,
AL,Calhoun,13242,32865,1116,262,379,47864,,
AL,Chambers,5784,7843,168,44,61,13900,,
AL,Cherokee,1547,8953,147,26,60,10733,,
AL,Chilton,2911,15081,228,52,97,18369,,
AL,Choctaw,3109,4106,52,6,19,7292,,
AL,Clarke,5749,7140,99,17,26,13031,,
AL,Clay,1237,5245,93,16,33,6624,,
AL,Cleburne,684,5764,90,20,35,6593,,
AL,Coffee,4221,15875,396,104,171,20767,,
AL,Colbert,7312,16746,511,107,239,24915,,
AL,Conecuh,3080,3420,51,10,24,6585,,
AL,Coosa,1782,3381,53,14,22,5252,,
AL,Covington,2387,13267,183,36,67,15940,,
AL,Crenshaw,1664,4513,65,14,11,6267,,
AL,Cullman,3798,32989,687,134,265,37873,,
AL,Dale,4413,13808,350,62,116,18749,,
AL,Dallas,12836,5789,96,24,47,18792,,
AL,DeKalb,3622,21405,458,152,189,25826,,
AL,Elmore,8443,27634,738,112,333,37260,,
AL,Escambia,4605,9935,188,37,80,14845,,
AL,Etowah,10442,32353,835,164,370,44164,,
AL,Fayette,1362,6712,109,24,42,8249,,
AL,Franklin,2197,9466,238,54,85,12040,,
AL,Geneva,1525,9994,149,24,66,11758,,
AL,Greene,4013,838,13,5,11,4880,,
AL,Hale,4775,3173,54,12,26,8040,,
AL,Henry,2292,5632,91,17,40,8072,,
AL,Houston,10664,30728,779,144,324,42639,,
AL,Jackson,3673,16672,393,90,156,20984,,
AL,Jefferson,156873,134768,6645,1554,4351,304191,,
AL,Lamar,1036,5823,62,15,30,6966,,
AL,Lauderdale,9952,27899,987,222,465,39525,,
AL,Lawrence,3627,10833,250,31,88,14829,,
AL,Lee,21230,34617,2030,364,950,59191,,
AL,Limestone,9468,29067,1055,202,502,40294,,
AL,Lowndes,4883,1751,32,11,7,6684,,
AL,Macon,7566,1431,69,49,25,9140,,
AL,Madison,62822,89520,6621,1254,3172,163389,,
AL,Marengo,5615,5233,104,13,29,10994,,
AL,Marion,1432,11274,181,26,71,12984,,
AL,Marshall,4917,29233,678,158,330,35316,,
AL,Mobile,72186,95116,3291,791,1353,172737,,
AL,Monroe,4332,5795,88,17,39,10271,,
AL,Montgomery,58916,34003,1486,490,983,95878,,
AL,Morgan,11254,37486,1168,218,518,50644,,
